# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
13	95	iid	LR	different	iid_different	left	-1.969	6.295	right	40	10.722	-1	1	0.344	1	1
13	15	iid	LL	same	iid_same	left	-2.085	3.039	left	9	-3.017	-1	1	0.2715	1	1
13	30	iid	LL	same	iid_same	left	-1.432	5.195	left	27	-7.161	-1	1	0.261	1	1
13	158	iid	RR	same	iid_same	right	1.147	2.092	right	4	3.873	1	0	0.22	0	1
13	128	iid	RL	different	iid_different	right	0.87	4.088	left	17	-2.599	1	0	0.302	0	1
13	115	iid	RL	different	iid_different	right	2.055	3.917	left	16	-5.82	1	0	0.305	0	1
13	69	iid	LR	different	iid_different	left	-2.377	3.329	right	11	2.683	-1	1	0.354	1	1
13	170	iid	RR	same	iid_same	right	2.263	4.205	right	18	3.056	1	0	0.347	0	1
13	174	iid	RR	same	iid_same	right	1.157	4.176	right	17	2.95	1	0	0.342	0	1
13	45	iid	LL	same	iid_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.2715	1	1
13	66	iid	LR	different	iid_different	left	-2.091	3.596	right	13	5.348	1	0	0.29	1	0
13	182	iid	RR	same	iid_same	right	2.179	5.057	right	26	5.865	1	0	0.63	0	1
13	165	iid	RR	same	iid_same	right	2.085	3.039	right	9	3.017	1	0	0.315	0	1
13	78	iid	LR	different	iid_different	left	-0.87	4.088	right	17	2.599	-1	1	0.21	1	1
13	186	iid	RR	same	iid_same	right	1.917	5.864	right	35	11.991	1	0	0.337	0	1
13	177	iid	RR	same	iid_same	right	2.389	4.145	right	17	3.429	1	0	0.443	0	1
13	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	-1	1	0.257	1	1
13	152	iid	RR	same	iid_same	right	2.413	2.537	right	6	6.728	1	0	0.149	0	1
13	82	iid	LR	different	iid_different	left	-0.915	5.411	right	29	4.576	-1	1	0.55	1	1
13	68	iid	LR	different	iid_different	left	-1.071	3.23	right	10	4.659	1	0	0.366	1	0
13	124	iid	RL	different	iid_different	right	1.906	4.326	left	19	-4.242	-1	1	0.474	0	0
13	16	iid	LL	same	iid_same	left	-1.331	3.134	left	10	-7.001	-1	1	0.455	1	1
13	148	iid	RL	different	iid_different	right	0.971	6.212	left	39	-8.275	1	0	0.679	0	1
13	93	iid	LR	different	iid_different	left	-1.486	6.421	right	41	8.888	1	0	0.646	1	0
13	65	iid	LR	different	iid_different	left	-2.055	3.917	right	16	5.82	-1	1	0.301	1	1
13	60	iid	LR	different	iid_different	left	-0.889	3.379	right	11	3.456	1	0	0.199	1	0
13	84	iid	LR	different	iid_different	left	-1.581	5.468	right	30	3.437	-1	1	0.483	1	1
13	67	iid	LR	different	iid_different	left	-1.011	3.712	right	14	2.576	1	0	0.117	1	0
13	125	iid	RL	different	iid_different	right	1.007	4.726	left	22	-7.396	-1	1	0.298	0	0
13	132	iid	RL	different	iid_different	right	0.915	5.411	left	29	-4.576	1	0	0.402	0	1
13	9	iid	LL	same	iid_same	left	-1.71	2.788	left	8	-5.391	-1	1	0.102	1	1
