# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	exept_prop_left_lv	acc_lv
22	56	iid	LR	different	iid_different	left	-0.974	2.955	right	9	5.179	1	0	0.399	1	0
22	37	iid	LL	same	iid_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.592	1	1
22	67	iid	LR	different	iid_different	left	-1.011	3.712	right	14	2.576	1	0	0.558	1	0
22	79	iid	LR	different	iid_different	left	-2.149	4.637	right	22	6.019	1	0	0.7	1	0
22	80	iid	LR	different	iid_different	left	-1.134	4.973	right	25	3.726	1	0	0.664	1	0
22	188	iid	RR	same	iid_same	right	2.822	5.379	right	29	8.417	-1	1	0.489	0	0
22	183	iid	RR	same	iid_same	right	2.547	5.207	right	27	4.706	1	0	0.504	0	1
22	10	iid	LL	same	iid_same	left	-1.646	3.03	left	9	-6.579	-1	1	0.832	1	1
22	128	iid	RL	different	iid_different	right	0.87	4.088	left	17	-2.599	1	0	0.589	0	1
22	62	iid	LR	different	iid_different	left	-1.05	3.553	right	13	3.169	-1	1	0.471	1	1
22	65	iid	LR	different	iid_different	left	-2.055	3.917	right	16	5.82	1	0	0.542	1	0
22	17	iid	LL	same	iid_same	left	-2.376	3.95	left	16	-7.381	-1	1	0.39	1	1
22	133	iid	RL	different	iid_different	right	1.014	5.344	left	29	-3.279	1	0	0.572	0	1
22	195	iid	RR	same	iid_same	right	0.81	6.405	right	41	10.068	1	0	0.759	0	1
22	146	iid	RL	different	iid_different	right	1.995	6.028	left	36	-3.041	1	0	0.718	0	1
22	38	iid	LL	same	iid_same	left	-2.822	5.379	left	29	-8.417	-1	1	0.4385	1	1
22	173	iid	RR	same	iid_same	right	2.217	4.012	right	16	3.328	1	0	0.579	0	1
22	149	iid	RL	different	iid_different	right	1.186	6.295	left	40	-3.668	1	0	0.4385	0	1
22	93	iid	LR	different	iid_different	left	-1.486	6.421	right	41	8.888	-1	1	0.498	1	1
22	29	iid	LL	same	iid_same	left	-1.621	4.376	left	19	-14.001	-1	1	0.37	1	1
22	0	iid	LL	same	iid_same	left	-1.672	2.125	left	5	-3.182	-1	1	0.286	1	1
22	2	iid	LL	same	iid_same	left	-2.413	2.537	left	6	-6.728	-1	1	0.23	1	1
22	122	iid	RL	different	iid_different	right	1.283	4.911	left	24	-3.587	-1	1	0.575	0	0
22	180	iid	RR	same	iid_same	right	1.432	5.195	right	27	7.161	1	0	0.404	0	1
22	95	iid	LR	different	iid_different	left	-1.969	6.295	right	40	10.722	1	0	0.455	1	0
22	121	iid	RL	different	iid_different	right	1.764	4.73	left	22	-2.728	1	0	0.32	0	1
22	185	iid	RR	same	iid_same	right	2.32	5.071	right	26	7.877	1	0	0.427	0	1
22	39	iid	LL	same	iid_same	left	-2.719	5.571	left	31	-10.583	-1	1	0.464	1	1
22	66	iid	LR	different	iid_different	left	-2.091	3.596	right	13	5.348	-1	1	0.41	1	1
22	19	iid	LL	same	iid_same	left	-1.394	3.481	left	12	-5.649	-1	1	0.374	1	1
22	11	iid	LL	same	iid_same	left	-1.454	3.202	left	10	-2.972	-1	1	0.249	1	1
22	45	iid	LL	same	iid_same	left	-0.81	6.405	left	41	-10.068	-1	1	0.345	1	1
22	41	iid	LL	same	iid_same	left	-2.078	6.196	left	38	-11.804	-1	1	0.381	1	1
22	92	iid	LR	different	iid_different	left	-1.12	6.035	right	36	5.179	-1	1	0.494	1	1
22	168	iid	RR	same	iid_same	right	1.853	3.209	right	10	4.809	1	0	0.455	0	1
22	1	iid	LL	same	iid_same	left	-1.432	2.804	left	8	-3.469	-1	1	0.281	1	1
22	57	iid	LR	different	iid_different	left	-2.189	2.964	right	9	2.592	-1	1	0.28	1	1
22	189	iid	RR	same	iid_same	right	2.719	5.571	right	31	10.583	1	0	0.435	0	1
22	151	iid	RR	same	iid_same	right	1.432	2.804	right	8	3.469	1	0	0.328	0	1
22	167	iid	RR	same	iid_same	right	2.376	3.95	right	16	7.381	1	0	0.657	0	1
22	116	iid	RL	different	iid_different	right	2.091	3.596	left	13	-5.348	1	0	0.237	0	1
22	138	iid	RL	different	iid_different	right	1.027	5.533	left	31	-3.742	1	0	0.436	0	1
22	155	iid	RR	same	iid_same	right	2.123	2.129	right	5	3.169	1	0	0.225	0	1
22	82	iid	LR	different	iid_different	left	-0.915	5.411	right	29	4.576	1	0	0.54	1	0
22	160	iid	RR	same	iid_same	right	1.646	3.03	right	9	6.579	1	0	0.284	0	1
22	181	iid	RR	same	iid_same	right	2.689	5.667	right	33	13.897	1	0	0.485	0	1
22	171	iid	RR	same	iid_same	right	2.081	4.839	right	24	11.931	1	0	0.429	0	1
22	12	iid	LL	same	iid_same	left	-1.311	3.437	left	12	-3.281	-1	1	0.23	1	1
22	55	iid	LR	different	iid_different	left	-1.076	2.085	right	4	4.474	-1	1	0.311	1	1
22	77	iid	LR	different	iid_different	left	-1.239	4.403	right	19	7.711	1	0	0.553	1	0
22	56	rdw	LR	different	rdw_different	left	-0.974	2.955	right	9	5.179	1	0	0.279	0	1
22	37	rdw	LL	same	rdw_same	left	-1.988	5.494	left	30	-5.674	-1	1	0.462	1	1
22	67	rdw	LR	different	rdw_different	left	-1.011	3.712	right	14	2.576	1	0	0.31	0	1
22	79	rdw	LR	different	rdw_different	left	-2.149	4.637	right	22	6.019	1	0	0.389	0	1
