# subj	index_traj	path	conditions	condition	cond_sum	mean_side	mean_val	sd	last_visibl_side	f_missing_pos	last_visibl_center_dist[deg]	response	prop_left	RT_s	acc_lv	same_side_as_lv	same_side_as_ms
22	42	rdw	LL	same	rdw_same	left	-1.954	6.647	left	44	-13.663	-1	1	0.23	1	1	1
22	193	rdw	RR	same	rdw_same	right	1.762	6.619	right	43	11.962	1	0	0.427	1	1	1
22	152	rdw	RR	same	rdw_same	right	2.413	2.537	right	6	6.728	1	0	0.026	1	1	1
22	126	rdw	RL	different	rdw_different	right	1.794	4.732	left	22	-6.096	-1	1	0.313	1	1	0
22	40	rdw	LL	same	rdw_same	left	-2.137	6.102	left	37	-2.857	-1	1	0.312	1	1	1
22	134	rdw	RL	different	rdw_different	right	1.581	5.468	left	30	-3.437	-1	1	0.477	1	1	0
22	83	rdw	LR	different	rdw_different	left	-1.014	5.344	right	29	3.279	1	0	0.387	1	1	0
22	14	rdw	LL	same	rdw_same	left	-2.465	3.163	left	10	-5.991	-1	1	0.322	1	1	1
22	85	rdw	LR	different	rdw_different	left	-1.907	4.917	right	24	2.755	-1	1	0.449	0	0	1
22	175	rdw	RR	same	rdw_same	right	1.971	4.243	right	18	3.981	1	0	0.48	1	1	1
22	197	rdw	RR	same	rdw_same	right	2.158	6.978	right	49	5.806	1	0	0.406	1	1	1
22	125	rdw	RL	different	rdw_different	right	1.007	4.726	left	22	-7.396	-1	1	0.192	1	1	0
22	147	rdw	RL	different	rdw_different	right	1.346	6.31	left	40	-3.058	-1	1	0.356	1	1	0
22	24	rdw	LL	same	rdw_same	left	-1.157	4.176	left	17	-2.95	-1	1	0.156	1	1	1
22	70	rdw	LR	different	rdw_different	left	-1.926	4.487	right	20	4.387	1	0	0.336	1	1	0
22	182	rdw	RR	same	rdw_same	right	2.179	5.057	right	26	5.865	1	0	0.316	1	1	1
22	131	rdw	RL	different	rdw_different	right	1.773	5.602	left	31	-12.73	-1	1	0.274	1	1	0
22	23	rdw	LL	same	rdw_same	left	-2.217	4.012	left	16	-3.328	-1	1	0.039	1	1	1
22	52	rdw	LR	different	rdw_different	left	-1.512	2.3	right	5	5.012	1	0	0.567	1	1	0
22	106	rdw	RL	different	rdw_different	right	0.974	2.955	left	9	-5.179	-1	1	0.327	1	1	0
22	6	rdw	LL	same	rdw_same	left	-2.375	2.81	left	8	-5.006	-1	1	0.234	1	1	1
22	191	rdw	RR	same	rdw_same	right	2.078	6.196	right	38	11.804	1	0	0.3275	1	1	1
22	47	rdw	LL	same	rdw_same	left	-2.158	6.978	left	49	-5.806	-1	1	0.32725000000000004	1	1	1
22	99	rdw	LR	different	rdw_different	left	-1.186	6.295	right	40	3.668	1	0	0.378	1	1	0
